(1569.21, 0.0, 30407, 30791, 30119, 30247, 0, 'ok')
(1569.26, 0.0, 30343, 30791, 30119, 30247, 0, 'ok')
(1569.32, 0.0, 30375, 30791, 30119, 30279, 0, 'ok')
(1569.37, 0.0, 30343, 30791, 30119, 30279, 0, 'ok')
(1569.42, 0.0, 30407, 30791, 30119, 30247, 0, 'ok')
(1569.47, 0.0, 30375, 30823, 30119, 30279, 0, 'ok')
(1569.53, 0.0, 30375, 30791, 30119, 30279, 0, 'ok')
(1569.58, 0.0, 30375, 30791, 30119, 30279, 0, 'ok')
(1569.63, 0.0, 30375, 30791, 30119, 30247, 0, 'ok')
(1569.68, 0.0, 30407, 30823, 30087, 30247, 0, 'ok')
(1569.74, 0.0, 30407, 30855, 30119, 30279, 0, 'ok')
(1569.79, 0.0, 30407, 30823, 30119, 30279, 0, 'ok')
(1569.84, 0.0, 30407, 30759, 30087, 30279, 0, 'ok')
(1569.89, 0.0, 30343, 30855, 30119, 30247, 0, 'ok')
(1569.94, 0.0, 30407, 30759, 30119, 30279, 0, 'ok')
(1570.0, 0.0, 30375, 30823, 30119, 30247, 0, 'ok')
(1570.05, 0.0, 30375, 30823, 30119, 30279, 0, 'ok')
(1570.1, 0.0, 30375, 30855, 30087, 30279, 0, 'ok')
(1570.15, 0.0, 30375, 30791, 30119, 30247, 0, 'ok')
(1570.21, 0.0, 30375, 30855, 30087, 30279, 0, 'ok')
(1570.26, 0.0, 30407, 30791, 30119, 30279, 0, 'ok')
(1570.31, 0.0, 30375, 30791, 30119, 30279, 0, 'ok')
(1570.36, 0.0, 30375, 30791, 30087, 30279, 0, 'ok')
(1570.41, 0.0, 30407, 30759, 30087, 30279, 0, 'ok')
(1570.46, 0.0, 30407, 30791, 30087, 30247, 0, 'ok')
(1570.52, 0.0, 30407, 30791, 30119, 30247, 0, 'ok')
(1570.57, 0.0, 30375, 30791, 30119, 30247, 0, 'ok')
(1570.62, 0.0, 30407, 30759, 30087, 30247, 0, 'ok')
(1570.67, 0.0, 30407, 30823, 30119, 30279, 0, 'ok')
(1570.73, 0.0, 30375, 30759, 30087, 30247, 0, 'ok')
(1570.78, 0.0, 30407, 30855, 30119, 30279, 0, 'ok')
(1570.83, 0.0, 30375, 30823, 30119, 30279, 0, 'ok')
(1570.88, 0.0, 30407, 30823, 30119, 30279, 0, 'ok')
(1570.94, 0.0, 30375, 30823, 30119, 30279, 0, 'ok')
(1570.99, 0.0, 30407, 30855, 30119, 30279, 0, 'ok')
(1571.04, 0.0, 30375, 30759, 30087, 30279, 0, 'ok')
(1571.09, 0.0, 30375, 30823, 30119, 30247, 0, 'ok')
(1571.14, 0.0, 30407, 30855, 30119, 30247, 0, 'ok')
